          date data
0   2021-02-01    2
1   2021-02-02    0
2   2021-02-03    2
3   2021-02-04    0
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    0
9   2021-02-10    0
10  2021-02-11    0
11  2021-02-12    0
12  2021-02-13    0
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    0
17  2021-02-18    0
18  2021-02-19    4
19  2021-02-20    0
20  2021-02-21    0
21  2021-02-22    0
22  2021-02-23    2
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    2
27  2021-02-28    0
28  2021-03-01    0
29  2021-03-02    0
30  2021-03-03    0
31  2021-03-04    2
32  2021-03-05    0
33  2021-03-06    0
34  2021-03-07    0
35  2021-03-08    2
36  2021-03-09    0
37  2021-03-10    0
38  2021-03-11    2
39  2021-03-12    0
40  2021-03-13    0
41  2021-03-14    2
42  2021-03-15    2
43  2021-03-16    0
44  2021-03-17    4
45  2021-03-18    2
46  2021-03-19    7
47  2021-03-20    2
48  2021-03-21    0
49  2021-03-22    2
50  2021-03-23    0
51  2021-03-24    4
52  2021-03-25    4
53  2021-03-26    0
54  2021-03-27    0
55  2021-03-28    0
56  2021-03-29    4
57  2021-03-30    2
58  2021-03-31    2
59  2021-04-01    0
60  2021-04-02    0
61  2021-04-03    2
62  2021-04-04    0
63  2021-04-05    0
64  2021-04-06    0
65  2021-04-07    0
66  2021-04-08    0
67  2021-04-09    2
68  2021-04-10    0
69  2021-04-11    0
70  2021-04-12    2
71  2021-04-13    0
72  2021-04-14    0
73  2021-04-15    0
74  2021-04-16    0
75  2021-04-17    0
76  2021-04-18    0
77  2021-04-19    0
78  2021-04-20    2
79  2021-04-21    0
80  2021-04-22    0
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    7
85  2021-04-27    0
86  2021-04-28    7
87  2021-04-29    0
88  2021-04-30    9
89  2021-05-01    2
90  2021-05-02    4
91  2021-05-03    0
92  2021-05-04    7
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    0
103 2021-05-15   20
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20    2
109 2021-05-21    2
110 2021-05-22    0
111 2021-05-23    9
112 2021-05-24    9
113 2021-05-25    0
114 2021-05-26    0
115 2021-05-27    2
116 2021-05-28    4
117 2021-05-29    0
118 2021-05-30    0
119 2021-05-31    0
120 2021-06-01    4
121 2021-06-02    0
122 2021-06-03    0
123 2021-06-04    0
124 2021-06-05    7
125 2021-06-06    0
126 2021-06-07   15
127 2021-06-08   35
128 2021-06-09   22
129 2021-06-10    7
130 2021-06-11   77
131 2021-06-12    9
132 2021-06-13    4
133 2021-06-14    4
134 2021-06-15    7
135 2021-06-16    2
136 2021-06-17    4
137 2021-06-18    7
138 2021-06-19    4
139 2021-06-20   15
140 2021-06-21    4
141 2021-06-22    0
142 2021-06-23    0
143 2021-06-24    7
144 2021-06-25    0
145 2021-06-26    4
146 2021-06-27    0
147 2021-06-28    0
148 2021-06-29    0
149 2021-06-30    0
150 2021-07-01    4
151 2021-07-02    9
152 2021-07-03    7
153 2021-07-04    7
154 2021-07-05    0
155 2021-07-06    2
156 2021-07-07    2
157 2021-07-08    0
158 2021-07-09    0
159 2021-07-10    0
160 2021-07-11    0
161 2021-07-12    0
162 2021-07-13    0
163 2021-07-14    0
164 2021-07-15    0
