          date data
0   2021-02-01    0
1   2021-02-02    2
2   2021-02-03    2
3   2021-02-04    8
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    0
9   2021-02-10    2
10  2021-02-11    0
11  2021-02-12    0
12  2021-02-13    2
13  2021-02-14    2
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    2
17  2021-02-18    4
18  2021-02-19    0
19  2021-02-20    0
20  2021-02-21    2
21  2021-02-22    2
22  2021-02-23    0
23  2021-02-24    0
24  2021-02-25    2
25  2021-02-26    0
26  2021-02-27    7
27  2021-02-28    0
28  2021-03-01    2
29  2021-03-02    0
30  2021-03-03    0
31  2021-03-04    2
32  2021-03-05    2
33  2021-03-06    0
34  2021-03-07    2
35  2021-03-08    0
36  2021-03-09    7
37  2021-03-10    7
38  2021-03-11    2
39  2021-03-12    2
40  2021-03-13    0
41  2021-03-14    4
42  2021-03-15    0
43  2021-03-16    0
44  2021-03-17    2
45  2021-03-18    4
46  2021-03-19    2
47  2021-03-20    4
48  2021-03-21    9
49  2021-03-22    9
50  2021-03-23    4
51  2021-03-24    2
52  2021-03-25    0
53  2021-03-26    0
54  2021-03-27    2
55  2021-03-28    0
56  2021-03-29    9
57  2021-03-30    7
58  2021-03-31    2
59  2021-04-01    7
60  2021-04-02    0
61  2021-04-03    0
62  2021-04-04    0
63  2021-04-05   15
64  2021-04-06   17
65  2021-04-07    2
66  2021-04-08    9
67  2021-04-09    4
68  2021-04-10    2
69  2021-04-11    7
70  2021-04-12    2
71  2021-04-13    4
72  2021-04-14    7
73  2021-04-15    7
74  2021-04-16    2
75  2021-04-17    4
76  2021-04-18    4
77  2021-04-19    7
78  2021-04-20    4
79  2021-04-21    4
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    0
85  2021-04-27    4
86  2021-04-28   15
87  2021-04-29    9
88  2021-04-30    9
89  2021-05-01    4
90  2021-05-02    9
91  2021-05-03    4
92  2021-05-04   27
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    2
102 2021-05-14    2
103 2021-05-15  109
104 2021-05-16    0
105 2021-05-17    0
106 2021-05-18    4
107 2021-05-19    0
108 2021-05-20   27
109 2021-05-21    2
110 2021-05-22    0
111 2021-05-23   30
112 2021-05-24   30
113 2021-05-25   17
114 2021-05-26    7
115 2021-05-27    4
116 2021-05-28   20
117 2021-05-29    9
118 2021-05-30    0
119 2021-05-31    7
120 2021-06-01    0
121 2021-06-02    2
122 2021-06-03    4
123 2021-06-04    9
124 2021-06-05   17
125 2021-06-06    4
126 2021-06-07   32
127 2021-06-08  135
128 2021-06-09   85
129 2021-06-10   52
130 2021-06-11  259
131 2021-06-12   37
132 2021-06-13   22
133 2021-06-14   22
134 2021-06-15    2
135 2021-06-16   17
136 2021-06-17    9
137 2021-06-18   17
138 2021-06-19   12
139 2021-06-20   22
140 2021-06-21    9
141 2021-06-22   15
142 2021-06-23   15
143 2021-06-24   35
144 2021-06-25   20
145 2021-06-26   12
146 2021-06-27    0
147 2021-06-28    2
148 2021-06-29    2
149 2021-06-30   15
150 2021-07-01   20
151 2021-07-02   32
152 2021-07-03   42
153 2021-07-04   32
154 2021-07-05   37
155 2021-07-06   30
156 2021-07-07   12
157 2021-07-08   32
158 2021-07-09   22
159 2021-07-10    2
160 2021-07-11    7
161 2021-07-12   12
162 2021-07-13    7
163 2021-07-14    4
164 2021-07-15    4
