          date data
0   2021-02-01    4
1   2021-02-02    7
2   2021-02-03    0
3   2021-02-04    0
4   2021-02-05    2
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    0
8   2021-02-09    2
9   2021-02-10    4
10  2021-02-11   17
11  2021-02-12    0
12  2021-02-13    2
13  2021-02-14    0
14  2021-02-15    4
15  2021-02-16    2
16  2021-02-17    0
17  2021-02-18    7
18  2021-02-19    0
19  2021-02-20    0
20  2021-02-21    9
21  2021-02-22    9
22  2021-02-23    0
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    0
27  2021-02-28    0
28  2021-03-01    2
29  2021-03-02    0
30  2021-03-03    0
31  2021-03-04    0
32  2021-03-05    2
33  2021-03-06    2
34  2021-03-07    0
35  2021-03-08    0
36  2021-03-09    4
37  2021-03-10   12
38  2021-03-11    2
39  2021-03-12    2
40  2021-03-13    0
41  2021-03-14    2
42  2021-03-15    0
43  2021-03-16    2
44  2021-03-17    7
45  2021-03-18    9
46  2021-03-19    9
47  2021-03-20    7
48  2021-03-21    4
49  2021-03-22    7
50  2021-03-23   15
51  2021-03-24    0
52  2021-03-25    4
53  2021-03-26    0
54  2021-03-27    0
55  2021-03-28    2
56  2021-03-29   12
57  2021-03-30    2
58  2021-03-31   15
59  2021-04-01    4
60  2021-04-02    2
61  2021-04-03    2
62  2021-04-04    9
63  2021-04-05    7
64  2021-04-06    2
65  2021-04-07    0
66  2021-04-08    0
67  2021-04-09    0
68  2021-04-10    0
69  2021-04-11    0
70  2021-04-12    7
71  2021-04-13    2
72  2021-04-14    2
73  2021-04-15    0
74  2021-04-16    0
75  2021-04-17    7
76  2021-04-18    4
77  2021-04-19    0
78  2021-04-20    0
79  2021-04-21    0
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    2
85  2021-04-27    2
86  2021-04-28   15
87  2021-04-29   17
88  2021-04-30   12
89  2021-05-01    9
90  2021-05-02    7
91  2021-05-03   15
92  2021-05-04   15
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    4
103 2021-05-15   77
104 2021-05-16    2
105 2021-05-17    0
106 2021-05-18    0
107 2021-05-19    0
108 2021-05-20   15
109 2021-05-21    4
110 2021-05-22   22
111 2021-05-23   15
112 2021-05-24   20
113 2021-05-25    7
114 2021-05-26    4
115 2021-05-27   22
116 2021-05-28    7
117 2021-05-29    7
118 2021-05-30    4
119 2021-05-31    0
120 2021-06-01    0
121 2021-06-02    0
122 2021-06-03    0
123 2021-06-04    2
124 2021-06-05    9
125 2021-06-06   12
126 2021-06-07   60
127 2021-06-08  255
128 2021-06-09   67
129 2021-06-10   39
130 2021-06-11  199
131 2021-06-12   25
132 2021-06-13   15
133 2021-06-14   25
134 2021-06-15   17
135 2021-06-16   25
136 2021-06-17   20
137 2021-06-18   17
138 2021-06-19   25
139 2021-06-20   37
140 2021-06-21   12
141 2021-06-22   15
142 2021-06-23    9
143 2021-06-24   25
144 2021-06-25    7
145 2021-06-26   12
146 2021-06-27    0
147 2021-06-28    2
148 2021-06-29    2
149 2021-06-30   20
150 2021-07-01   15
151 2021-07-02   49
152 2021-07-03   44
153 2021-07-04   52
154 2021-07-05   27
155 2021-07-06   27
156 2021-07-07    4
157 2021-07-08    2
158 2021-07-09   17
159 2021-07-10   12
160 2021-07-11    0
161 2021-07-12    2
162 2021-07-13    2
163 2021-07-14    4
164 2021-07-15    0
