          date data
0   2021-02-01   12
1   2021-02-02    9
2   2021-02-03    4
3   2021-02-04    4
4   2021-02-05    0
5   2021-02-06    0
6   2021-02-07    2
7   2021-02-08    2
8   2021-02-09    2
9   2021-02-10    4
10  2021-02-11    9
11  2021-02-12    4
12  2021-02-13    2
13  2021-02-14    4
14  2021-02-15    0
15  2021-02-16    0
16  2021-02-17    4
17  2021-02-18    4
18  2021-02-19    7
19  2021-02-20    7
20  2021-02-21   12
21  2021-02-22    2
22  2021-02-23    7
23  2021-02-24    4
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    0
27  2021-02-28    0
28  2021-03-01    9
29  2021-03-02    4
30  2021-03-03    0
31  2021-03-04    7
32  2021-03-05    0
33  2021-03-06    2
34  2021-03-07    2
35  2021-03-08    0
36  2021-03-09    4
37  2021-03-10    4
38  2021-03-11   12
39  2021-03-12    9
40  2021-03-13    2
41  2021-03-14    4
42  2021-03-15    0
43  2021-03-16    4
44  2021-03-17    4
45  2021-03-18    4
46  2021-03-19    4
47  2021-03-20    2
48  2021-03-21    2
49  2021-03-22    2
50  2021-03-23    7
51  2021-03-24    0
52  2021-03-25   18
53  2021-03-26    2
54  2021-03-27    9
55  2021-03-28    4
56  2021-03-29   22
57  2021-03-30    4
58  2021-03-31   12
59  2021-04-01    2
60  2021-04-02    0
61  2021-04-03    7
62  2021-04-04    2
63  2021-04-05    7
64  2021-04-06    0
65  2021-04-07    2
66  2021-04-08    4
67  2021-04-09    4
68  2021-04-10    2
69  2021-04-11    0
70  2021-04-12    2
71  2021-04-13    0
72  2021-04-14    0
73  2021-04-15    7
74  2021-04-16    7
75  2021-04-17    2
76  2021-04-18    4
77  2021-04-19    0
78  2021-04-20    2
79  2021-04-21    0
80  2021-04-22    2
81  2021-04-23    2
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26    4
85  2021-04-27   32
86  2021-04-28   12
87  2021-04-29    9
88  2021-04-30   22
89  2021-05-01   20
90  2021-05-02   15
91  2021-05-03   15
92  2021-05-04   22
93  2021-05-05    2
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    4
97  2021-05-09    0
98  2021-05-10    0
99  2021-05-11    0
100 2021-05-12    0
101 2021-05-13    0
102 2021-05-14    7
103 2021-05-15   97
104 2021-05-16    0
105 2021-05-17    2
106 2021-05-18    2
107 2021-05-19    0
108 2021-05-20   42
109 2021-05-21   15
110 2021-05-22   15
111 2021-05-23   32
112 2021-05-24   22
113 2021-05-25   15
114 2021-05-26    9
115 2021-05-27    7
116 2021-05-28   15
117 2021-05-29   20
118 2021-05-30    7
119 2021-05-31    4
120 2021-06-01    4
121 2021-06-02    2
122 2021-06-03    0
123 2021-06-04    2
124 2021-06-05   20
125 2021-06-06    9
126 2021-06-07   79
127 2021-06-08  267
128 2021-06-09  102
129 2021-06-10   55
130 2021-06-11  327
131 2021-06-12   60
132 2021-06-13   27
133 2021-06-14   32
134 2021-06-15   25
135 2021-06-16   42
136 2021-06-17   20
137 2021-06-18   20
138 2021-06-19   27
139 2021-06-20   17
140 2021-06-21   17
141 2021-06-22   15
142 2021-06-23   15
143 2021-06-24   25
144 2021-06-25   20
145 2021-06-26    2
146 2021-06-27    0
147 2021-06-28    0
148 2021-06-29    2
149 2021-06-30    4
150 2021-07-01   22
151 2021-07-02   44
152 2021-07-03   60
153 2021-07-04   52
154 2021-07-05   70
155 2021-07-06   35
156 2021-07-07   20
157 2021-07-08   22
158 2021-07-09    7
159 2021-07-10    9
160 2021-07-11    7
161 2021-07-12    7
162 2021-07-13    4
163 2021-07-14    7
164 2021-07-15    2
