          date data
0   2021-02-01    4
1   2021-02-02    9
2   2021-02-03    0
3   2021-02-04    4
4   2021-02-05    2
5   2021-02-06    0
6   2021-02-07    0
7   2021-02-08    2
8   2021-02-09    0
9   2021-02-10    4
10  2021-02-11    7
11  2021-02-12    0
12  2021-02-13    7
13  2021-02-14    0
14  2021-02-15    0
15  2021-02-16    2
16  2021-02-17    0
17  2021-02-18    2
18  2021-02-19    2
19  2021-02-20    4
20  2021-02-21    7
21  2021-02-22    2
22  2021-02-23    0
23  2021-02-24    0
24  2021-02-25    0
25  2021-02-26    0
26  2021-02-27    0
27  2021-02-28    2
28  2021-03-01    2
29  2021-03-02    2
30  2021-03-03    0
31  2021-03-04    4
32  2021-03-05    4
33  2021-03-06    0
34  2021-03-07    4
35  2021-03-08    0
36  2021-03-09    7
37  2021-03-10    7
38  2021-03-11    0
39  2021-03-12    0
40  2021-03-13    2
41  2021-03-14    2
42  2021-03-15    0
43  2021-03-16    2
44  2021-03-17    0
45  2021-03-18   22
46  2021-03-19    7
47  2021-03-20    4
48  2021-03-21    7
49  2021-03-22   17
50  2021-03-23    2
51  2021-03-24    0
52  2021-03-25   18
53  2021-03-26    2
54  2021-03-27   15
55  2021-03-28    2
56  2021-03-29    7
57  2021-03-30   15
58  2021-03-31   12
59  2021-04-01    2
60  2021-04-02    2
61  2021-04-03    0
62  2021-04-04    2
63  2021-04-05    7
64  2021-04-06   15
65  2021-04-07    0
66  2021-04-08    2
67  2021-04-09    2
68  2021-04-10    0
69  2021-04-11    2
70  2021-04-12    4
71  2021-04-13    2
72  2021-04-14    0
73  2021-04-15    2
74  2021-04-16    7
75  2021-04-17    7
76  2021-04-18    0
77  2021-04-19    7
78  2021-04-20   17
79  2021-04-21    0
80  2021-04-22    0
81  2021-04-23    0
82  2021-04-24    0
83  2021-04-25    0
84  2021-04-26   15
85  2021-04-27   22
86  2021-04-28   22
87  2021-04-29   12
88  2021-04-30   25
89  2021-05-01   12
90  2021-05-02   15
91  2021-05-03   17
92  2021-05-04   12
93  2021-05-05    0
94  2021-05-06    0
95  2021-05-07    0
96  2021-05-08    0
97  2021-05-09    2
98  2021-05-10    0
99  2021-05-11    2
100 2021-05-12    0
101 2021-05-13    4
102 2021-05-14    2
103 2021-05-15   79
104 2021-05-16    0
105 2021-05-17   12
106 2021-05-18    4
107 2021-05-19    0
108 2021-05-20   15
109 2021-05-21    2
110 2021-05-22   12
111 2021-05-23   39
112 2021-05-24   25
113 2021-05-25    7
114 2021-05-26    9
115 2021-05-27   22
116 2021-05-28    9
117 2021-05-29   12
118 2021-05-30    4
119 2021-05-31    7
120 2021-06-01    0
121 2021-06-02    4
122 2021-06-03    7
123 2021-06-04    4
124 2021-06-05    9
125 2021-06-06   12
126 2021-06-07   49
127 2021-06-08  210
128 2021-06-09   92
129 2021-06-10   12
130 2021-06-11  175
131 2021-06-12   55
132 2021-06-13   30
133 2021-06-14   44
134 2021-06-15    7
135 2021-06-16   25
136 2021-06-17   12
137 2021-06-18   20
138 2021-06-19   17
139 2021-06-20    9
140 2021-06-21   22
141 2021-06-22    4
142 2021-06-23    7
143 2021-06-24   25
144 2021-06-25   12
145 2021-06-26    0
146 2021-06-27    4
147 2021-06-28    0
148 2021-06-29    4
149 2021-06-30    2
150 2021-07-01   22
151 2021-07-02   35
152 2021-07-03   52
153 2021-07-04   62
154 2021-07-05   37
155 2021-07-06   12
156 2021-07-07    4
157 2021-07-08    7
158 2021-07-09   15
159 2021-07-10   17
160 2021-07-11   12
161 2021-07-12    2
162 2021-07-13    4
163 2021-07-14    9
164 2021-07-15    0
